id;bildbeschreibung;typ;erstellung;bild;bild_content_type
1;inasmuch;ouch bah nächst;2025-01-23T08:39:34;../fake-data/blob/hipster.png;image/png
2;absonderlicherweise;nächst Zahl;2025-01-23T05:18:54;../fake-data/blob/hipster.png;image/png
3;who Religion;getreu;2025-01-23T00:59:30;../fake-data/blob/hipster.png;image/png
4;gleichentags;offensichtlich Urknall rivalisieren;2025-01-22T17:08:57;../fake-data/blob/hipster.png;image/png
5;säubern;Anatomie;2025-01-22T13:26:35;../fake-data/blob/hipster.png;image/png
6;jung ugh;infolge hierdurch fooey;2025-01-23T10:55:26;../fake-data/blob/hipster.png;image/png
7;halbwegs ha;drat unterweilen;2025-01-22T15:26:21;../fake-data/blob/hipster.png;image/png
8;zeitlich protokollieren hinterher;yet;2025-01-22T21:01:15;../fake-data/blob/hipster.png;image/png
9;eigens ungerechnet;but kommunalisieren aus;2025-01-23T09:46:59;../fake-data/blob/hipster.png;image/png
10;unschlagbar;anlässlich;2025-01-22T20:23:16;../fake-data/blob/hipster.png;image/png
